agent,mcp_server,tool,input_type,expected_action,result,http_status,blocked,raw_pii_leak,canary_leak_self,compliance_tags,evidence,reason
agent5,cp09-ens8do,get-resource-links,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-links_pii.json,
agent5,cp09-ens8do,get-resource-reference,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-reference_benign.json,
agent5,cp09-ens8do,get-resource-reference,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-reference_injection.json,
agent5,cp09-ens8do,get-resource-reference,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-reference_pii.json,
agent5,cp09-ens8do,get-structured-content,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-structured-content_benign.json,
agent5,cp09-ens8do,get-structured-content,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-structured-content_injection.json,
agent5,cp09-ens8do,get-structured-content,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-structured-content_pii.json,
agent5,cp09-ens8do,get-sum,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-sum_benign.json,
agent5,cp09-ens8do,get-sum,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-sum_injection.json,
agent5,cp09-ens8do,get-sum,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-sum_pii.json,
agent5,cp09-ens8do,get-tiny-image,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-tiny-image_benign.json,
agent5,cp09-ens8do,get-tiny-image,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-tiny-image_injection.json,
agent5,cp09-ens8do,get-tiny-image,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-tiny-image_pii.json,
agent5,cp09-ens8do,gzip-file-as-resource,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_gzip-file-as-resource_benign.json,
agent5,cp09-ens8do,gzip-file-as-resource,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_gzip-file-as-resource_injection.json,
agent5,cp09-ens8do,gzip-file-as-resource,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/cp09-ens8do/tools_call_gzip-file-as-resource_pii.json,
agent5,cp09-ens8do,simulate-research-query,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_simulate-research-query_benign.json,
agent5,cp09-ens8do,simulate-research-query,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_simulate-research-query_injection.json,
agent5,cp09-ens8do,simulate-research-query,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-ens8do/tools_call_simulate-research-query_pii.json,
agent5,cp09-ens8do,toggle-simulated-logging,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-simulated-logging_benign.json,
agent5,cp09-ens8do,toggle-simulated-logging,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-simulated-logging_injection.json,
agent5,cp09-ens8do,toggle-simulated-logging,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-simulated-logging_pii.json,
agent5,cp09-ens8do,toggle-subscriber-updates,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-subscriber-updates_benign.json,
agent5,cp09-ens8do,toggle-subscriber-updates,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-subscriber-updates_injection.json,
agent5,cp09-ens8do,toggle-subscriber-updates,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_toggle-subscriber-updates_pii.json,
agent5,cp09-ens8do,trigger-long-running-operation,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_trigger-long-running-operation_benign.json,
agent5,cp09-ens8do,trigger-long-running-operation,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_trigger-long-running-operation_injection.json,
agent5,cp09-ens8do,trigger-long-running-operation,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_trigger-long-running-operation_pii.json,
agent5,cp09-ens8do,*,tools_list,200 tool catalog returned,PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_list.json,
agent5,cp09-verify,echo,benign,ALLOW (route to upstream),PASS,200,False,False,True,,agent5/evidence/cp09-verify/tools_call_echo_benign.json,
agent5,cp09-verify,echo,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,True,,agent5/evidence/cp09-verify/tools_call_echo_injection.json,
agent5,cp09-verify,echo,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/cp09-verify/tools_call_echo_pii.json,
agent5,cp09-verify,get-annotated-message,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-annotated-message_benign.json,
agent5,cp09-verify,get-annotated-message,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-annotated-message_injection.json,
agent5,cp09-verify,get-annotated-message,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-annotated-message_pii.json,
agent5,cp09-verify,get-env,benign,ALLOW (route to upstream),PASS,200,True,False,False,INFRA,agent5/evidence/cp09-verify/tools_call_get-env_benign.json,
agent5,cp09-verify,get-env,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,INFRA,agent5/evidence/cp09-verify/tools_call_get-env_injection.json,
agent5,cp09-verify,get-env,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,True,False,False,INFRA,agent5/evidence/cp09-verify/tools_call_get-env_pii.json,
agent5,cp09-verify,get-resource-links,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-links_benign.json,
agent5,cp09-verify,get-resource-links,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-links_injection.json,
agent5,cp09-verify,get-resource-links,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-links_pii.json,
agent5,cp09-verify,get-resource-reference,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-reference_benign.json,
agent5,cp09-verify,get-resource-reference,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-reference_injection.json,
agent5,cp09-verify,get-resource-reference,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-resource-reference_pii.json,
agent5,cp09-verify,get-structured-content,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-structured-content_benign.json,
agent5,cp09-verify,get-structured-content,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-structured-content_injection.json,
agent5,cp09-verify,get-structured-content,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_get-structured-content_pii.json,
agent5,cp09-verify,get-sum,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-sum_benign.json,
agent5,cp09-verify,get-sum,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-sum_injection.json,
agent5,cp09-verify,get-sum,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-sum_pii.json,
agent5,cp09-verify,get-tiny-image,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-tiny-image_benign.json,
agent5,cp09-verify,get-tiny-image,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-tiny-image_injection.json,
agent5,cp09-verify,get-tiny-image,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_get-tiny-image_pii.json,
agent5,cp09-verify,gzip-file-as-resource,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_gzip-file-as-resource_benign.json,
agent5,cp09-verify,gzip-file-as-resource,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_gzip-file-as-resource_injection.json,
agent5,cp09-verify,gzip-file-as-resource,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/cp09-verify/tools_call_gzip-file-as-resource_pii.json,
agent5,cp09-verify,simulate-research-query,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_simulate-research-query_benign.json,
agent5,cp09-verify,simulate-research-query,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_simulate-research-query_injection.json,
agent5,cp09-verify,simulate-research-query,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/cp09-verify/tools_call_simulate-research-query_pii.json,
agent5,cp09-verify,toggle-simulated-logging,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-simulated-logging_benign.json,
agent5,cp09-verify,toggle-simulated-logging,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-simulated-logging_injection.json,
agent5,cp09-verify,toggle-simulated-logging,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-simulated-logging_pii.json,
agent5,cp09-verify,toggle-subscriber-updates,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-subscriber-updates_benign.json,
agent5,cp09-verify,toggle-subscriber-updates,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-subscriber-updates_injection.json,
agent5,cp09-verify,toggle-subscriber-updates,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_toggle-subscriber-updates_pii.json,
agent5,cp09-verify,trigger-long-running-operation,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_trigger-long-running-operation_benign.json,
agent5,cp09-verify,trigger-long-running-operation,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_trigger-long-running-operation_injection.json,
agent5,cp09-verify,trigger-long-running-operation,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_call_trigger-long-running-operation_pii.json,
agent5,cp09-verify,*,tools_list,200 tool catalog returned,PASS,200,False,False,False,,agent5/evidence/cp09-verify/tools_list.json,
agent5,everything-1,echo,benign,ALLOW (route to upstream),PASS,200,False,False,True,,agent5/evidence/everything-1/tools_call_echo_benign.json,
agent5,everything-1,echo,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,True,,agent5/evidence/everything-1/tools_call_echo_injection.json,
agent5,everything-1,echo,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/everything-1/tools_call_echo_pii.json,
agent5,everything-1,get-annotated-message,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-annotated-message_benign.json,
agent5,everything-1,get-annotated-message,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-annotated-message_injection.json,
agent5,everything-1,get-annotated-message,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-annotated-message_pii.json,
agent5,everything-1,get-env,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-env_benign.json,
agent5,everything-1,get-env,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-env_injection.json,
agent5,everything-1,get-env,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-env_pii.json,
agent5,everything-1,get-resource-links,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-resource-links_benign.json,
agent5,everything-1,get-resource-links,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-resource-links_injection.json,
agent5,everything-1,get-resource-links,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-resource-links_pii.json,
agent5,everything-1,get-resource-reference,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-resource-reference_benign.json,
agent5,everything-1,get-resource-reference,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-resource-reference_injection.json,
agent5,everything-1,get-resource-reference,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-resource-reference_pii.json,
agent5,everything-1,get-structured-content,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-structured-content_benign.json,
agent5,everything-1,get-structured-content,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-structured-content_injection.json,
agent5,everything-1,get-structured-content,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_get-structured-content_pii.json,
agent5,everything-1,get-sum,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-sum_benign.json,
agent5,everything-1,get-sum,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-sum_injection.json,
agent5,everything-1,get-sum,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-sum_pii.json,
agent5,everything-1,get-tiny-image,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-tiny-image_benign.json,
agent5,everything-1,get-tiny-image,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-tiny-image_injection.json,
agent5,everything-1,get-tiny-image,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_get-tiny-image_pii.json,
agent5,everything-1,gzip-file-as-resource,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_gzip-file-as-resource_benign.json,
agent5,everything-1,gzip-file-as-resource,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_gzip-file-as-resource_injection.json,
agent5,everything-1,gzip-file-as-resource,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/everything-1/tools_call_gzip-file-as-resource_pii.json,
agent5,everything-1,simulate-research-query,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_simulate-research-query_benign.json,
agent5,everything-1,simulate-research-query,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_simulate-research-query_injection.json,
agent5,everything-1,simulate-research-query,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/everything-1/tools_call_simulate-research-query_pii.json,
agent5,everything-1,toggle-simulated-logging,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-simulated-logging_benign.json,
agent5,everything-1,toggle-simulated-logging,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-simulated-logging_injection.json,
agent5,everything-1,toggle-simulated-logging,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-simulated-logging_pii.json,
agent5,everything-1,toggle-subscriber-updates,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-subscriber-updates_benign.json,
agent5,everything-1,toggle-subscriber-updates,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-subscriber-updates_injection.json,
agent5,everything-1,toggle-subscriber-updates,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_toggle-subscriber-updates_pii.json,
agent5,everything-1,trigger-long-running-operation,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_trigger-long-running-operation_benign.json,
agent5,everything-1,trigger-long-running-operation,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_trigger-long-running-operation_injection.json,
agent5,everything-1,trigger-long-running-operation,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-1/tools_call_trigger-long-running-operation_pii.json,
agent5,everything-1,*,tools_list,200 tool catalog returned,PASS,200,False,False,False,,agent5/evidence/everything-1/tools_list.json,
agent5,everything-2,echo,benign,ALLOW (route to upstream),PASS,200,False,False,True,,agent5/evidence/everything-2/tools_call_echo_benign.json,
agent5,everything-2,echo,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,True,,agent5/evidence/everything-2/tools_call_echo_injection.json,
agent5,everything-2,echo,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/everything-2/tools_call_echo_pii.json,
agent5,everything-2,get-annotated-message,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-annotated-message_benign.json,
agent5,everything-2,get-annotated-message,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-annotated-message_injection.json,
agent5,everything-2,get-annotated-message,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-annotated-message_pii.json,
agent5,everything-2,get-env,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-env_benign.json,
agent5,everything-2,get-env,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-env_injection.json,
agent5,everything-2,get-env,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-env_pii.json,
agent5,everything-2,get-resource-links,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-resource-links_benign.json,
agent5,everything-2,get-resource-links,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-resource-links_injection.json,
agent5,everything-2,get-resource-links,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-resource-links_pii.json,
agent5,everything-2,get-resource-reference,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-resource-reference_benign.json,
agent5,everything-2,get-resource-reference,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-resource-reference_injection.json,
agent5,everything-2,get-resource-reference,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-resource-reference_pii.json,
agent5,everything-2,get-structured-content,benign,ALLOW (route to upstream),PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-structured-content_benign.json,
agent5,everything-2,get-structured-content,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-structured-content_injection.json,
agent5,everything-2,get-structured-content,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,,agent5/evidence/everything-2/tools_call_get-structured-content_pii.json,
agent5,everything-2,get-sum,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-sum_benign.json,
agent5,everything-2,get-sum,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/everything-2/tools_call_get-sum_injection.json,
